stage,architecture,detector_seed,arm,fit_role,C,validation_AP,test_AP,n_iter,convergence_warning,hit_max_iter,converged,coef_sha256,intercept_sha256
s1,lstm,33,H+O1r+I,validation_candidate,10.0,0.9539326307273399,,1955,False,False,True,d8b62836012eef84bb87547da1dec788cf6f40e7b11948ae3118006c83f7faec,119fad15f4b3172ac42f5fd615a91fdfc30d33912f39231b9f79843ed32e8f27
s1,lstm,33,H+O1r+I,selected_final,1.0,0.9542237504101503,0.9487250912352423,1634,False,False,True,05f93f4daf0bd81b41dd54ab90d25ba97e1a4a9e13b9dfbcdb16cfd968dd693e,ec3ebbdd54fa532e790448e76eafe3884a44041566522bb1f6ecfae1238080b7
s2,xlstm,11,H+O1r,validation_candidate,0.001,0.9060223218259373,,220,False,False,True,e052aa2027add693e3b7ef88403c3457cd056ef59a23a84e4f02a9a7969dad4e,4d14d72a97ec52d20e127174b3d95e7084009fa98bb329cc9ac42904fd403277
s2,xlstm,11,H+O1r,validation_candidate,0.01,0.9114001665609954,,521,False,False,True,7706d484e0de1098c5312dc63e4fadbe7f4c166e31d5eefb8254e9e3b86e9439,e577ccd1fdc978d0662cf199dee6ac3df87cb6d4e895432d5ef982ef1249e578
s2,xlstm,11,H+O1r,validation_candidate,0.1,0.9153156548563615,,1316,False,False,True,aaf9248c62dcf92a1e6f676098f706825f7ec4fe2b2b3942ca6880289e8013c4,9e7c807ef653eca47fb285b516ead1ac890be6a5c00c0f871d81e24f520cd213
s2,xlstm,11,H+O1r,validation_candidate,1.0,0.9179570032794464,,2377,False,False,True,9b77af389bed5410a1eb2dcad2bd825fa370db1a5c0e14907355c12e751d09a1,a3317cf8f469ec3079030bd7ea813a20552ed97c910596d94be05be82e3eaca1
s2,xlstm,11,H+O1r,validation_candidate,10.0,0.9173791603693684,,3266,False,False,True,46683c1a0f917a9d786ec756df222137a139216014819dfd7bac1af868438e75,1e1693d495d3544e333103bbd4b96e42364092d95f32456f33a1260e2e789b22
s2,xlstm,11,H+O1r,validation_candidate,100.0,0.9168147489774727,,2900,False,False,True,50c52423c7b954e15f836ea129d5e12fa786d2608ae0118f2716ff25132b2a2e,9581d01efc0d343fc060962c5573e2159882b0f3cbfe5740e9d39943527037fe
s2,xlstm,11,H+O1r,selected_final,1.0,0.9179570032794464,0.9066215152751446,2377,False,False,True,9b77af389bed5410a1eb2dcad2bd825fa370db1a5c0e14907355c12e751d09a1,a3317cf8f469ec3079030bd7ea813a20552ed97c910596d94be05be82e3eaca1
s2,xlstm,11,H+O1r+I,validation_candidate,0.001,0.9429310158381499,,188,False,False,True,095397aa8a2c154850654cc66dee0254eab67f15b374c16aac31a10854a1a6bf,496c8d1365f9c173b0e4d0746a64fcabed219b6d3d37280d58041909fc5bc552
