source,scenario,condition,detector_seed,c,parameter_delta_l2,fixed_threshold,anomalous_loss_exposures,optimizer_steps,runtime_seconds,score_sha256,final_model_sha256,n,positives,negatives,prevalence,recall,fpr,ap,pr_auc_trapezoidal,auroc,update_loss
3005,recurring,mixture,22,,0.0,1.155601805448532,0,0,0.18967210315167904,82dd5fae5329cf689a7b025c0f91de1d6cba3e811b53873ee61da39b088bfbd5,448b5ce621bf97889b49738770fe5c1152e340ca15d5d602e6d63c748eeceeee,8236,1922,6314,0.23336571151044197,0.536420395421436,0.2266392144440925,0.40132587084847937,0.4009822517058932,0.7048678967538894,
3005,recurring,mixture,22,0,0.05291624907929762,1.155601805448532,0,1,0.19807117292657495,7ae0651319ac7e36b2da6f02a134711b17e1645a8a02901281e4606955a29a3c,7db6b26fa8f65ff3c04204ded1a3db54fb65b815556e2b84ebcf9855cb97ceab,8236,1922,6314,0.23336571151044197,0.5286160249739854,0.21571111815014254,0.403230891265507,0.40288982704713383,0.7068398372775165,1.8967350721359253
3005,recurring,mixture,22,5,0.05299124305072849,1.155601805448532,5,1,0.1982465167529881,cac13714a271e18bb448544ad313bcf58f89af3f2d068aca2939fd9266f6b723,289ff8e2e7b3a1656796dea3cd502de2b77779c604b63f33c82863d8c856cd26,8236,1922,6314,0.23336571151044197,0.5286160249739854,0.21571111815014254,0.40323859296577796,0.40289750705464616,0.706840372895803,1.8991695642471313
3005,recurring,mixture,22,10,0.05307356459697254,1.155601805448532,10,1,0.19687209697440267,36d001f72a2645904ba2e45b2496c17c5964163d5d2ad831f9c1e98878cd0b61,22dc9374cd5ba7ca54d368ee3459433251106c10ac353a6bd54de16ef0c2d065,8236,1922,6314,0.23336571151044197,0.5286160249739854,0.21555273994298385,0.40322980550627335,0.40288880881276434,0.7068323798229131,1.9035601615905762
3005,recurring,mixture,22,20,0.0530557108382152,1.155601805448532,20,1,0.19874724000692368,ed97f6e4edc059f730f9dcd309664fbbe0b72f2485a4260381b11b1d426fa9b8,e243ee6c50f86c783779edf80ba4e9e30296628c2231a7ec1ded38c90a613096,8236,1922,6314,0.23336571151044197,0.5286160249739854,0.21571111815014254,0.4032212015584494,0.4028801062591096,0.7068216674571843,1.9171971082687378
3005,recurring,mixture,22,30,0.05286704530718802,1.155601805448532,30,1,0.19734212988987565,e95ae62b2d042bdfed07d023666647abc3153494f6150ca2a76f7d3c87886f85,7a4d1b2e4fb30a3952761f2c547fcb9a6cf6366b0197ca8bc42580cd0428e874,8236,1922,6314,0.23336571151044197,0.5286160249739854,0.21602787456445993,0.40318552573426275,0.4028446827885084,0.7067754806803308,1.944926381111145
3005,recurring,mixture,33,,0.0,1.12861949801445,0,0,0.19036844186484814,2b46ea9d7be30d448b395f22c10bf32846a09a045f5907086ded5d4e6e4f9eb7,4dbe781bb54b2f40c52377fd02aac8a8df900e4df2c386776ce64e6d59eedd20,8236,1922,6314,0.23336571151044197,0.5509885535900104,0.2328159645232816,0.3928675643073977,0.39252841975254293,0.7040704847296051,
3005,recurring,mixture,33,0,0.05069530066466529,1.12861949801445,0,1,0.19747632229700685,f427e43e7433176f1c608d54c2792ce3a11353e255f33bbed259caf95fc3f83a,2e2211b0d1145348666c8de104a36c67dcba87119c83f06689f507784f830b01,8236,1922,6314,0.23336571151044197,0.540582726326743,0.22157111181501427,0.3954602290600516,0.3951235528123283,0.7056618066586088,1.8736077547073364
3005,recurring,mixture,33,5,0.05076437032214935,1.12861949801445,5,1,0.1979803410358727,d9732694a2f90a38b1fc0c182e36d4e43424062a7880b854a22b4310609e2cdb,ec8e1d62151581ee98dd1ecab1950f269f7e4ce92682d07e5d5a90b7a76efb61,8236,1922,6314,0.23336571151044197,0.540582726326743,0.22157111181501427,0.39546647699140425,0.3951297538417017,0.7056635783190948,1.8761155605316162
3005,recurring,mixture,33,10,0.05087187009898455,1.12861949801445,10,1,0.19695520028471947,373c43d48f1c0e8367d3e63a0c9ca2f00c14ab054d61819ffb9f8b51186694c4,58e6f6d9788bd88bd591cb7ceb6495ba00acf766c0a5f0ccb8c0e76c0b368edf,8236,1922,6314,0.23336571151044197,0.5400624349635796,0.22157111181501427,0.3954551999595886,0.39511848125886306,0.705652041925233,1.880695104598999
